,1000LUNCUSDT,FXSUSDT,Spread,ZScore
0,0.0901,7.2366,0.017734,
1,0.0902,7.2185,0.018015000000000003,
2,0.09,7.1835,0.018164999999999987,
3,0.09,7.127,0.018729999999999997,
4,0.0898,7.1587,0.018213000000000007,
5,0.0897,7.1356,0.018344,
6,0.0895,7.1068,0.01843199999999999,
7,0.0893,7.0975,0.018325000000000008,
8,0.0895,7.2317,0.01718299999999999,
9,0.0899,7.246,0.017439999999999983,
10,0.0897,7.2363,0.017337000000000005,
11,0.0891,7.1575,0.017525,
12,0.0889,7.083,0.018070000000000003,
13,0.0884,7.0501,0.017899000000000012,
14,0.0883,7.0741,0.017559000000000005,
15,0.0887,7.0957,0.017742999999999995,
16,0.0884,7.027,0.018130000000000007,
17,0.0882,7.0315,0.017884999999999998,
18,0.0887,7.1021,0.017679,
19,0.0887,7.0623,0.01807700000000001,
20,0.0872,7.029,0.016909999999999994,-2.156427120222113
21,0.0864,6.9883,0.016517000000000004,-2.4223580463527274
22,0.0864,7.073,0.015670000000000003,-2.868027516436364
23,0.0865,7.0751,0.015749,-2.248600354839969
24,0.087,7.0704,0.01629599999999999,-1.4342150088561878
25,0.087,7.0557,0.016443,-1.1373951579048593
26,0.0872,7.1093,0.016106999999999996,-1.3878167456435706
27,0.087,7.066,0.016339999999999993,-1.0184406637184829
28,0.0871,7.1379,0.015721,-1.5853797584102522
29,0.0875,7.3422,0.014077999999999993,-2.6605049090361415
30,0.0879,7.2802,0.015098,-1.509691281386858
31,0.0877,7.2105,0.015594999999999998,-0.9762957486979592
32,0.0876,7.1212,0.016388,-0.24300527838996697
33,0.0879,7.1316,0.016584,-0.008902312145356457
34,0.0877,7.113,0.016569999999999988,0.03770636974447339
35,0.0877,7.1039,0.016660999999999995,0.16936531350978404
36,0.0873,7.0775,0.016524999999999998,0.09703919461582762
37,0.0876,7.08,0.016799999999999995,0.4779614321986904
38,0.0875,7.0568,0.01693199999999999,0.7192485051488671
39,0.0876,7.043,0.01716999999999999,1.070914588990138
40,0.0877,7.0583,0.017116999999999993,1.1807202639510819
41,0.0881,7.0824,0.017276,1.3363814866908696
42,0.0877,7.0566,0.017133999999999996,1.0778004707897997
43,0.0877,7.0441,0.017258999999999997,1.1224564792586524
44,0.0871,6.927,0.01783,1.624001832640996
45,0.0881,7.0036,0.018063999999999997,1.6682513650708817
46,0.0887,7.0809,0.017891000000000004,1.3339852038712852
47,0.0897,7.252,0.01718,0.5307572525876059
48,0.0891,7.1505,0.017595,0.889407115059994
49,0.089,7.1398,0.017601999999999993,0.8137634243639887
50,0.0888,7.1125,0.01767500000000001,0.9249618469159077
51,0.0888,7.0718,0.018082,1.5017994146240494
52,0.0886,7.0324,0.018276,1.7777245594072268
53,0.0887,7.031,0.018390000000000004,1.7702790056546012
54,0.0885,7.0424,0.018075999999999995,1.1239317510974909
55,0.0895,7.0202,0.019297999999999996,2.598662323999346
56,0.089,6.9777,0.019223000000000004,2.118229314851555
57,0.0889,7.0115,0.01878500000000001,1.3919301133314064
58,0.0891,7.0505,0.018594999999999987,1.0308765949810688
59,0.0893,7.0523,0.018777000000000002,1.1817898406737437
60,0.0891,7.0339,0.018761,1.0549497096979505
61,0.0893,7.045,0.018850000000000006,1.0848854196203832
62,0.0893,7.0431,0.018868999999999997,1.0162978466115977
63,0.0896,7.0505,0.019094999999999987,1.256327833598554
64,0.0906,7.015,0.020449999999999996,2.6752828482886826
65,0.0898,7.0251,0.019548999999999997,1.3228160998879488
66,0.0905,7.0471,0.02002899999999999,1.6961677033544005
67,0.0902,7.0498,0.019701999999999997,1.1779612750150343
68,0.0903,6.9906,0.02039400000000001,1.8151946679201372
69,0.09,6.9545,0.020454999999999987,1.6938125378940374
70,0.0898,7.0265,0.019534999999999997,0.553607557614318
71,0.0883,6.8952,0.019348000000000004,0.24284796511394371
72,0.0883,6.9235,0.019065,-0.2157771837104127
73,0.0879,6.876,0.019140000000000004,-0.17563662946460096
74,0.087,6.819,0.018809999999999993,-0.7269223435800352
75,0.087,6.8429,0.01857099999999999,-1.2083165340728421
76,0.0873,6.8722,0.018577999999999997,-1.1028934474725351
77,0.0875,6.883,0.018669999999999992,-0.8938868744733701
78,0.0871,6.868,0.018419999999999992,-1.2249186033281
79,0.0871,6.862,0.018479999999999996,-1.1147732860074557
80,0.0867,6.828,0.018419999999999992,-1.1515019019023125
81,0.0846,6.8104,0.016495999999999997,-2.898535029034907
82,0.0845,6.7845,0.016655000000000003,-2.239538731934144
83,0.0846,6.8285,0.016314999999999996,-2.13644303240783
84,0.0844,6.8799,0.015601000000000004,-2.2321935075318415
85,0.0849,6.8704,0.016196000000000002,-1.6094261402140675
86,0.0849,6.861,0.01629,-1.381138656873504
87,0.0853,6.873,0.01657,-1.085176424164044
88,0.0862,6.9504,0.016696000000000003,-0.909267169132147
89,0.0863,6.9329,0.016971,-0.650236238523337
90,0.0858,6.9241,0.016559000000000004,-0.8820290828979231
91,0.0857,6.8861,0.016838999999999993,-0.5904735658909492
92,0.0843,6.8145,0.016155000000000003,-1.05963351618249
93,0.0841,6.817,0.015929999999999986,-1.1456770606217648
94,0.0842,6.814,0.01605999999999999,-0.9535419007479049
95,0.0849,6.8522,0.016378000000000004,-0.5923723253329928
96,0.085,6.8175,0.016825000000000007,-0.08705355255260681
97,0.0853,6.8399,0.016901,0.07948412428391906
98,0.085,6.8375,0.016625,-0.1360607821736657
99,0.0842,6.796,0.01623999999999999,-0.5596021739716373
100,0.0844,6.8412,0.015988000000000002,-0.9274929442385949
101,0.0842,6.8091,0.016109,-0.807978683882051
102,0.0841,6.7925,0.016174999999999995,-0.5781957313939355
103,0.0842,6.779,0.016409999999999994,0.10352735011929551
104,0.0844,6.7713,0.016686999999999994,0.8149989681100737
105,0.0844,6.7431,0.016968999999999998,1.524857606100694
106,0.0844,6.719,0.017210000000000003,1.9150314820274088
107,0.0838,6.721,0.016589999999999994,0.19572403916645706
108,0.0841,6.7268,0.016832,0.8095295099411667
109,0.0842,6.729,0.016909999999999994,0.9719736213938497
110,0.0845,6.7156,0.017344,1.9229336715849035
111,0.0847,6.743,0.017269999999999994,1.5505581674264488
112,0.0847,6.7488,0.01721199999999999,1.3233671394770585
113,0.0847,6.7543,0.01715699999999999,1.091672600059514
114,0.0849,6.7543,0.017356999999999997,1.404218502103808
115,0.0846,6.751,0.017089999999999994,0.7344234310646099
116,0.0844,6.7989,0.01641100000000001,-0.8562291568017731
117,0.0845,6.7692,0.016808000000000003,0.07503580292726081
118,0.0846,6.7248,0.017351999999999992,1.2471324492200029
119,0.0852,6.7435,0.01776499999999999,1.864365947194477
120,0.0851,6.7735,0.01736499999999999,0.9556318993119158
121,0.0844,6.7352,0.017048000000000008,0.21290737008488653
122,0.0852,6.8389,0.016810999999999993,-0.4574804844233696
123,0.0851,6.821,0.016890000000000002,-0.3881297267168025
124,0.0858,6.8409,0.01739099999999999,0.9978758701794611
125,0.0852,6.8157,0.017043000000000003,-0.14176641697409945
126,0.0854,6.8158,0.017241999999999993,0.45803110238406236
127,0.0853,6.7945,0.017354999999999995,0.789437058253972
128,0.0852,6.8405,0.016795000000000004,-1.070435959098278
129,0.0854,6.8433,0.016966999999999996,-0.5280607636047737
130,0.0859,6.8508,0.017392000000000005,0.8290978537687629
131,0.0863,6.8135,0.018165,2.653110685257287
132,0.0868,6.8295,0.018504999999999994,2.691531789576612
133,0.086,6.8115,0.017884999999999998,1.245981553839725
134,0.0866,6.8408,0.018192,1.644956339794069
135,0.0869,6.8578,0.018322000000000005,1.667683310471202
136,0.0876,6.9365,0.018235,1.3577264037264967
137,0.0869,6.9135,0.017765000000000003,0.49748927654621156
138,0.0865,6.894,0.017559999999999992,0.06424362123191368
139,0.0867,6.88,0.0179,0.651040694243723
140,0.0866,6.8195,0.018405000000000005,1.4567336199664407
141,0.0868,6.8186,0.018614000000000006,1.6069000281634742
142,0.0867,6.8361,0.018338999999999994,1.0468139470953475
143,0.0869,6.8425,0.018475000000000005,1.1669830788478284
144,0.0869,6.8755,0.01814500000000001,0.5391188251163035
145,0.0866,6.9215,0.017384999999999998,-0.8143933235660841
146,0.0863,6.9194,0.017105999999999996,-1.3269611983200729
147,0.086,6.9034,0.01696599999999998,-1.5062589599627558
148,0.0864,6.8955,0.017445000000000002,-0.6846786875880588
149,0.0865,6.9204,0.017295999999999992,-1.0541294275733344
150,0.0864,6.8947,0.017452999999999996,-0.8533621994166949
151,0.0864,6.8925,0.017475000000000004,-0.8236689934541209
152,0.0863,6.9123,0.017176999999999998,-1.2773654501143608
153,0.0862,6.8975,0.017225000000000004,-1.0818085463458003
154,0.086,6.9164,0.01683599999999999,-1.6206751501049934
155,0.0863,6.9145,0.017155000000000004,-0.9473411769966457
156,0.0862,6.9249,0.016950999999999994,-1.1947884258239712
157,0.0864,6.9194,0.017206,-0.6620504094650235
158,0.0863,6.9125,0.01717500000000001,-0.6620182653658873
159,0.0865,6.9256,0.017243999999999995,-0.5051600420224351
160,0.0866,6.9515,0.01708499999999999,-0.7221229310907166
161,0.0869,6.9575,0.017325000000000007,-0.2100395199375495
162,0.0876,6.97,0.0179,1.1196128979346478
163,0.0873,6.957,0.017729999999999996,0.8984850311936323
164,0.0877,6.996,0.017739999999999992,1.248306064380781
165,0.0874,7.0039,0.017361,0.23978952344407897
166,0.0873,6.962,0.01768,1.3205253120281375
167,0.0875,6.9875,0.017624999999999988,1.0210533246389675
168,0.0872,6.9996,0.017203999999999997,-0.5252546041640641
169,0.0872,6.976,0.017439999999999997,0.3422951255301694
170,0.0873,6.9732,0.017568,0.7540598714114869
171,0.0874,7.0044,0.017355999999999996,0.00311316541644286
172,0.0873,6.9944,0.01735600000000001,0.023813050876226996
173,0.087,6.9695,0.017304999999999987,-0.18637551665066654
174,0.0876,7.004,0.017560000000000006,0.6900781137285027
175,0.0872,6.962,0.01758,0.7000067221015553
176,0.0869,6.9425,0.017475000000000004,0.21942008249401682
177,0.0871,6.9661,0.017438999999999996,-0.029885189122786922
178,0.0869,6.929,0.01761,0.6899457975617512
179,0.0875,6.9635,0.017864999999999992,1.6940402451242076
180,0.0871,6.9425,0.017674999999999996,0.7400907722617341
181,0.0871,6.9699,0.017401,-0.6957664763308455
182,0.0875,6.9652,0.01784799999999999,1.4840216175347116
183,0.0873,6.9425,0.017875000000000002,1.646165525517827
184,0.0873,6.962,0.01768,0.656239190839737
185,0.088,7.0174,0.017825999999999995,1.362071599161167
186,0.0885,7.1296,0.017203999999999997,-1.6767767690718522
187,0.0882,7.0478,0.017722,0.8104052207298688
188,0.0881,7.0385,0.017714999999999995,0.7474391148155474
189,0.0883,7.0566,0.017734,0.7653546109160455
190,0.0879,7.019,0.017710000000000004,0.5818863768223366
191,0.0876,7.0108,0.017491999999999994,-0.503781720972733
192,0.0876,6.971,0.01788999999999999,1.3597636093467256
193,0.088,6.9825,0.018174999999999997,2.301996528644354
194,0.0881,6.9812,0.018288,2.3441069740492724
195,0.0878,7.0053,0.017747,0.14160076544288072
196,0.0877,6.9935,0.017765000000000003,0.179927961691017
197,0.0879,6.9995,0.017905000000000004,0.6759932066807257
198,0.0876,6.9754,0.017846,0.3664930044638632
199,0.0877,6.993,0.017769999999999994,0.007647240325196603
