,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
237,C98USDT,ARPAUSDT,0.01,-3.89,-3.37,2.17,2
687,XNOUSDT,ARPAUSDT,0.04,-3.45,-3.37,8.01,2
563,TRXUSDT,CHRUSDT,0.04,-3.42,-3.37,0.54,2
582,TRXUSDT,EOSUSDT,0.04,-3.4,-3.37,0.09,2
461,PEOPLEUSDT,ARPAUSDT,0.04,-3.45,-3.37,0.2,2
16,10000LADYSUSDT,AXSUSDT,0.04,-3.38,-3.37,0.0,1
8,10000LADYSUSDT,AKROUSDT,0.04,-3.46,-3.37,0.13,1
27,10000LADYSUSDT,ENSUSDT,0.03,-3.51,-3.37,0.0,1
19,10000LADYSUSDT,BLZUSDT,0.03,-3.54,-3.37,0.01,1
12,10000LADYSUSDT,ARBUSDT,0.03,-3.55,-3.37,0.0,1
21,10000LADYSUSDT,CKBUSDT,0.02,-3.75,-3.37,0.14,1
22,10000LADYSUSDT,COREUSDT,0.04,-3.39,-3.37,0.0,1
4,10000LADYSUSDT,AAVEUSDT,0.03,-3.5,-3.37,0.0,1
23,10000LADYSUSDT,CTKUSDT,0.03,-3.59,-3.37,0.0,1
24,10000LADYSUSDT,DENTUSDT,0.03,-3.54,-3.37,0.54,1
14,10000LADYSUSDT,ATOMUSDT,0.03,-3.53,-3.37,0.0,1
590,TRXUSDT,FLRUSDT,0.04,-3.39,-3.37,2.89,1
535,TRXUSDT,ALGOUSDT,0.04,-3.4,-3.37,0.49,1
26,10000LADYSUSDT,EDUUSDT,0.04,-3.44,-3.37,0.0,1
212,BUSDUSDT,GPTUSDT,0.03,-3.55,-3.37,49.14,1
28,10000LADYSUSDT,EOSUSDT,0.03,-3.5,-3.37,0.0,1
52,10000LADYSUSDT,RSRUSDT,0.04,-3.43,-3.37,0.16,1
209,BUSDUSDT,FLRUSDT,0.01,-3.93,-3.37,37.57,1
208,BUSDUSDT,FITFIUSDT,0.02,-3.74,-3.37,178.69,1
195,BUSDUSDT,ALGOUSDT,0.02,-3.67,-3.37,6.42,1
194,BUSDUSDT,AGLDUSDT,0.03,-3.52,-3.37,2.53,1
135,BAKEUSDT,LINAUSDT,0.04,-3.45,-3.37,12.62,1
100,ALGOUSDT,JSTUSDT,0.02,-3.72,-3.37,6.6,1
333,DARUSDT,APEUSDT,0.03,-3.55,-3.37,0.04,1
55,10000LADYSUSDT,SANDUSDT,0.04,-3.42,-3.37,0.0,1
54,10000LADYSUSDT,RUNEUSDT,0.05,-3.37,-3.37,0.0,1
395,GTCUSDT,1000BONKUSDT,0.01,-3.9,-3.37,3320.35,1
51,10000LADYSUSDT,RDNTUSDT,0.03,-3.51,-3.37,0.0,1
31,10000LADYSUSDT,FILUSDT,0.03,-3.57,-3.37,0.0,1
48,10000LADYSUSDT,OCEANUSDT,0.03,-3.5,-3.37,0.0,1
47,10000LADYSUSDT,MTLUSDT,0.03,-3.54,-3.37,0.0,1
45,10000LADYSUSDT,MAGICUSDT,0.03,-3.53,-3.37,0.0,1
44,10000LADYSUSDT,LPTUSDT,0.02,-3.76,-3.37,0.0,1
43,10000LADYSUSDT,KSMUSDT,0.04,-3.41,-3.37,0.0,1
675,XNOUSDT,1000BONKUSDT,0.02,-3.77,-3.37,1672.48,1
37,10000LADYSUSDT,ILVUSDT,0.04,-3.44,-3.37,0.0,1
36,10000LADYSUSDT,IDUSDT,0.04,-3.46,-3.37,0.0,1
33,10000LADYSUSDT,GMTUSDT,0.05,-3.37,-3.37,0.0,1
32,10000LADYSUSDT,GALAUSDT,0.03,-3.5,-3.37,0.02,1
34,10000LADYSUSDT,HFTUSDT,0.01,-3.83,-3.37,0.0,1
